Name,Alternate,Category1,Category2,Image,Lat,Long,Source,Description
Phyang Monastery,Phyang Gompa,Spiritual,Architecture,http://ladakh.sedumroseum.cz/wp-content/gallery/ladacke-klastery/phyang.jpg,34.186412,77.489729,http://www.thebetterindia.com/5658/tbi-travel-100-things-to-do-in-ladakh/,"Give your tired souls a breath of the divine. This summer be at Leh. Visit the Phyang Monastery Ladakh for peace, tranquillity and beauty. It is a serene monastery located at an easily migrate-able distance of 15-16/40 kms west of the town of Leh in Ladakh, Northern India. Established in 1515, it is the epicenter of the Djung teachings in Ladakh. Adorned with traditional Tibetan architectural embellishments this quaint peace-house resting snugly amidst the mountains is the perfect treat for the eyes and feast for the soul. For ones lured by history, the monastery also houses a 900-year-old museum containing an exquisite collection of idols and Chinese, Tibetan and Mongolian weapons. Also when planning your trip, consider timing it with the first month of the Tibetan calendar when it hosts the Gang-Sngon Tsedup Festival and later into the month when sacred dances are held at Phyang. The secret incense of salvation beckoning you already? Then make summer your season of deliverance and let your destiny guide you to the serenity of Leh. - See more at: http://www.thebetterindia.com/5658/tbi-travel-100-things-to-do-in-ladakh/#sthash.PjSVA6yC.dpuf"
Leh Post Office,,Daily Life,,http://media-cdn.tripadvisor.com/media/photo-s/03/d0/ed/5b/leh-post-office.jpg,34.148998,77.574377,http://www.thebetterindia.com/5658/tbi-travel-100-things-to-do-in-ladakh/,"Spending your summer in Leh? Still hooked to your facebook and mail accounts for that hour of updates and hellos? Shed the electronic monstrosity and send a few handwritten letters to your loved ones. Disturb not the peaceful equilibrium of the region and visit instead the LCPO or the Ladakh Central Post Office. Now open also to tourists, the post office allows tourists and locals to send letters and parcels until late evening. You can also send specially designed picture post-cards with exciting descriptions of your holiday to friends back home. If visiting in September, you can also be part of the Leh Festival philately exhibition which showcases more than 20,000 rare stamps from India and abroad."
"Jama Masjid, Leh",,Spiritual,,http://www.hoparoundindia.com/cityimages/jammu-and-kashmir/bigimages/Leh-Jama%20Masjid-1.jpg,34.164901,77.585334,http://www.thebetterindia.com/5658/tbi-travel-100-things-to-do-in-ladakh/,"Every little bend and every odd turn of the street will lead you to peace and serenity in Ladakh. Let it then also lead you to the Jama (greater) Masjid, nestled in the heart of Leh. The mosque which is a beautiful instance in stone-carved Mughal architecture was constructed in 1666-67 AD following an agreement between Mughal Emperor Aurangazeb and then ruler of Ladakh, Deldan Namgyal. The mosque also houses the Shahi Hamdan memorial dedicated to the much revered Sufi saint Mir Syed Ali Hamdani who is believed to have offered prayers at the Jama Masjid."
Leh Royal Palace,,Historical,,http://www.indiamarks.com/wp-content/uploads/leh-palace.jpg,34.166164,77.58638,http://www.thebetterindia.com/5658/tbi-travel-100-things-to-do-in-ladakh/,"Reminiscent of the bygone kingdom, the Leh Royal Palace is a beautiful specimen of medieval Tibetan temple architecture. Lined with massive buttressed walls and grand wooden corridors, the Leh Royal Palace overlooking the Namgyal Hills evokes a past glory of the bygone era. Located in the Himalayas, one has to traverse a steep uphill climb from the streets to reach it but in all faith it is truly worth it. The palace built by King Singe Namgyal in the 17th century is now the Archaeological Conservation Office for the Government of India. The palace, a gem even though in partial ruins, provides a magnificent view of the snow-capped mountains."
Shey Gompa,Shey Monastery,Spritual,Architecture,http://www.southasiatrekking.com/uploads/trips/1345790904.jpg,34.071489,77.633088,http://www.thebetterindia.com/5658/tbi-travel-100-things-to-do-in-ladakh/,"Shey, the once summer capital of Ladakh, houses the famous Shey Monastery of Gompa dating back to 1655. Built in the memory of Singay Namgyal, the Gompa is primarily noted for the giant copper statue of Shakyamuni Buddha with gilded gold. Believed to be the second largest statue in Ladakh it is surely a must-see site on your list. Located on a hillock alongside the Shey palace, the gompa overlooks 15 kms towards the south of of Leh. Shey can be trekked 4 kms upwards from the Thiksey monastery, a route which is lined with chorten fields with hundreds of whitewashed shrines of varying sizes across the desert. The place is also home to the She Doo Lhoo and the Shey Rupla festivals held in the first month of the Tibetan calendar. Also worth witnessing is the Rhupla Dance performed by men in tiger costumes."
Tso Moriri,,Nature,,http://www.rangan-datta.info/images/Tso%20moriri1.jpg,33.01291,78.263597,http://www.thebetterindia.com/5658/tbi-travel-100-things-to-do-in-ladakh/,"Tso Morori or the salty lake is the largest of the high altitude lakes in the trans-Himalayan region. Studded by Ladakh in the north, Tibet in the east and Zanskar in the west the Tso Moriri is a surprising piece of magic in the hills. Completely frozen during winter and dazzling in summer, it is home to a wide variety of birds, animals and vegetation. Situated at the end of the Rupshu Valley, nearly 250 kms from Leh, it is a brackish lake also known as the Lake in the Mountains. The first view of the lake, as you drive down the dusty Rupshu road is destined to leave you spellbound. The water is so clear and sparkling blue that you can spot the reflections of the mountains right down to the bottom slope. The Tso-Moriri also doubles up as an ideal camping site with provisions to set up quality and luxury tents. Also, when visiting the Tso-Moriri do not miss the sunset. It’s a promise of something spectacular, one you haven’t witnessed before."
Zanskar Valley,,Nature,,http://www.thrillophilia.com/pic_gallery/gal_1998342794_Zanskar%20Valley.jpeg,34.037191,76.373906,http://www.thebetterindia.com/5658/tbi-travel-100-things-to-do-in-ladakh/,"All those in search of some peaceful time with their loved ones or planning a back-pack trip for that Zen feeling with the universe must follow their heart and spirits to the Zanskar Valley, the most isolated region of Ladakh. Located at around 480 kms from Leh and 250 kms from Kargil, the route from Kargil to Padum is the only motor-able road to reach the Zanskar Valley. The valley contains the enchanting Rangdum monastery situated atop a rock-hill right in the middle. A beautiful green and snowy landscape hidden away in the hills, it is also home to other monasteries like the Suney, Stongdey, Zongkhul, Karsha and Phukta. One can arrange for jeep rides from Leh to the valley"
Moore Plains,More Plains,Nature,,http://1.bp.blogspot.com/-0fjYPUQpvm0/Ti2cbw8LvsI/AAAAAAAAAPo/xXO-sDxu490/s1600/moore+plains5.jpg,33.199339,77.799854,http://www.thebetterindia.com/5658/tbi-travel-100-things-to-do-in-ladakh/,"The real photography enthusiasts can indulge in some intense landscape photography in the famous Moore Plains lying en route via Pang. Situated on a plateau, it is a wonder for such an expansive flat piece of land to be located at an altitude of 15,400ft. You can also indulge in some fast speed, almost reckless driving here, as the roads are unbelievably even and in great condition. It is advised though to practice safety while exercising bravado and also to definitely make a significant halt to capture some brilliant land-scape and wide angle shots which are bound to impress all."
Stok Palace Museum,Stok Museum,Historical,,http://www.8thingstodo.com/wp-content/uploads/2012/12/Stok-Palace-Museum.jpg,34.073031,77.548628,http://www.thebetterindia.com/5658/tbi-travel-100-things-to-do-in-ladakh/,"Ladakh, the true macrocosm of natural and man-made beauty, should be your destination if you are keen to imbibe in the richness of both. A true nature lover’s paradise, Ladakh is also home to some of the most magnificent monasteries, temples, mosques and palaces. The Stock Palace, home of the royal family of Ladakh, is one such beauty. A short conveyable distance of 14 kms across the Indus river in Leh, the palace is a supreme synthesis of ancient and modern architecture. And you can imbibe the feel of both in the Stok Palace museum, which houses rare artifacts like royal attires and paraphernalia, copper coins, precious stones, antique royal jewelley and prayer tools. It also, most importantly, showcases the Thangkas depicting the life-teachings of Lord Buddha, dating back to the 16th century."
Tibetan Market,Tibetan Market Main Bazaar,Daily Life,,http://s3.amazonaws.com/lightstalkers/images/77070/Tibetan_Buddhist_masks_large.jpg,34.162104,77.583926,http://www.thebetterindia.com/5658/tbi-travel-100-things-to-do-in-ladakh/,"A nature lover’s paradise, Ladakh is also a feast for shopaholics. After having your fill of the scenic mountains and the gorgeous lakes, you must head towards the Tibetan Refugee market at Old Leh Road. It is a wonder-land for interesting and rare artifacts; and local goods to quench your cravings for the good things in life. Keen seekers of souvenirs can opt for the nine-metal cymbals; jewellery made from un-polished silver or turquoise and chunky shell bangles – a favourite with Ladakhi women. You can also improve your home décor by investing in some ornate rugs and carpets adorned with Kashmiri and Persian embroidery. The lapis lazuli from Afghanistan can also be bought here at modest bargains. Thangka paintings, semi-precious stone jewellery, small prayer wheels, shawls, stoles and music bowls make for ideal souvenir for the loved ones back home."
